"","Prefix","Level","Semester","Competency","Student.Work","Form","PT1","SCI1","PT2","SCI2","PT3","SCI3","PT4","SCI4","Total","Mean","file"
"51","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",46.5,"0",NA,"",NA,"",NA,"","0","0",2
"52","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",44.5,"0",NA,"",NA,"",NA,"","0","0",2
"53","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",79.5,"3",NA,"",NA,"",NA,"","3","3",2
"54","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",43,"0",NA,"",NA,"",NA,"","0","0",2
"55","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",59.5,"1",NA,"",NA,"",NA,"","1","1",2
"56","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",56,"1",NA,"",NA,"",NA,"","1","1",2
"57","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",81.5,"3",NA,"",NA,"",NA,"","3","3",2
"58","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",63.5,"2",NA,"",NA,"",NA,"","2","2",2
"59","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"60","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",3
"61","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",36,"0",NA,"",NA,"",NA,"","0","0",3
"62","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",3
"63","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",64,"2",NA,"",NA,"",NA,"","2","2",3
"64","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",3
"65","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",3
"66","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",3
"67","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",3
"68","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",64,"2",NA,"",NA,"",NA,"","2","2",3
"69","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",3
"70","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",3
"71","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",56,"1",NA,"",NA,"",NA,"","1","1",3
"72","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",3
"73","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",60,"2",NA,"",NA,"",NA,"","2","2",3
"74","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",3
"75","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"76","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",56,"1",NA,"",NA,"",NA,"","1","1",3
"77","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"78","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",3
"79","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",54,"1",NA,"",NA,"",NA,"","1","1",3
"80","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",3
"81","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",3
"82","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"83","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",3
"84","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",3
"85","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",3
"86","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",3
"87","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",3
"88","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",3
"89","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",3
"90","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",3
"91","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",3
"92","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",3
"93","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",3
"94","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",3
"95","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",3
"96","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",3
"97","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"98","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",52,"1",NA,"",NA,"",NA,"","1","1",3
"99","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",3
"100","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",3
"101","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",3
"102","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",3
"103","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",3
"104","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",3
"105","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",3
"106","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",3
"107","BIOL","200","Fall 2010","Natural Sciences","a selected response exam","Score",50,"1",NA,"",NA,"",NA,"","1","1",3
"108","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",4
"109","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"110","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
